Name,Coach_ID,Team,Season,League,Matches,Expectation,Result,Difference
Andreas Alm,Andreas Alm-OBK-2122,Odense BK,2122,DEN-Superligaen,28,41.7233,38,-3.7233
Andreas Heraf,Andreas Heraf-SJR-2122,SV Ried,2122,AUS-Bundesliga,7,24.5409,23.8408,-0.7001
Andreas Herzog,Andreas Herzog-ADM-2122,FC Admira Wacker,2122,AUS-Bundesliga,19,21.69695,22.2279,0.53095
Andreas Hinkel,Andreas Hinkel-STU-1819,VfB Stuttgart,1819,GER-Bundesliga,1,37.92845,37.92845,0
Andreas Holmberg,Andreas Holmberg-DEG-2122,Degerfors IF,2122,SWE-Allvenskan,27,29.3291,34,4.6709
Andreas Pettersson,Andreas Pettersson-GIF-1920,GIF Sundsvall,1920,SWE-Allvenskan,1,20.94675,20.94675,0
Andreas Tegström,Andreas Tegström-SAN-2021,Sandefjord Fotball,2021,NOR-Eliteserien,9,35,35,0
Andreas Tegström,Andreas Tegström-SAN-2122,Sandefjord Fotball,2122,NOR-Eliteserien,30,31.89645,36,4.10355
Andreas Wieland,Andreas Wieland-LASK-2122,LASK,2122,AUS-Bundesliga,15,28.16685,32.118,3.95115
Andrey Talalaev,Andrey Talalaev-KRYL-1920,Krylia Sovetov,1920,RUS-Premier League,4,28.0074,29.35045,1.34305
Andrey Talalaev,Andrey Talalaev-URL-1920,Krylia Sovetov,1920,RUS-Premier League,4,34.25535,33.095,-1.16035
Andrey Tikhonov,Andrey Tikhonov-KRYL-1819,Krylia Sovetov,1819,RUS-Premier League,3,26.00035,24.2256,-1.77475
Andrey Tikhonov,Andrey Tikhonov-URL-1819,Krylia Sovetov,1819,RUS-Premier League,3,29.0428,33.9744,4.9316
Andriy Shevchenko,Andriy Shevchenko-GEN-2122,Genoa CFC,2122,ITA-Serie A,7,36.25795,26.9566,-9.30135
André Breitenreiter,André Breitenreiter-HAN-1819,Hannover 96,1819,GER-Bundesliga,14,39.88495,26.04235,-13.8426
André Breitenreiter,André Breitenreiter-HOF-2122,1899 Hoffenheim,2122,GER-Bundesliga,1,46,46,0
André Breitenreiter,André Breitenreiter-ZUR-2122,FC Zürich,2122,SWI-Super League,32,53.581,76,22.419
André Pawlak,André Pawlak-COL-1819,1. FC Köln,1819,GER-Bundesliga 2,4,64.8603,63,-1.8603
André Pawlak,André Pawlak-COL-1920,1. FC Köln,1920,GER-Bundesliga,1,31.4353,31.4353,0
André Schubert,André Schubert-HOL-1920,Holstein Kiel,1920,GER-Bundesliga 2,4,46.5382,44.31135,-2.22685
André Schubert,André Schubert-ING-2122,FC Ingolstadt 04,2122,GER-Bundesliga 2,9,31.9435,25.23485,-6.70865
André Villas-Boas,André Villas-Boas-MRS-1920,Olympique Marseille,1920,FRA-Ligue 1,26,57.85585,70.5555,12.69965
André Villas-Boas,André Villas-Boas-MRS-2021,Olympique Marseille,2021,FRA-Ligue 1,19,57.3467,57.7138,0.3671
Andy Butler,Andy Butler-DON-2021,Doncaster Rovers,2021,ENG-League One,11,79.28395,64,-15.28395
Andy Dawson,Andy Dawson-SCUN-1819,Scunthorpe United,1819,ENG-League One,8,52.8421,46,-6.8421
Andy Millen,Andy Millen-KILM-2021,Kilmarnock FC,2021,SCO-premiership,1,36.0348,36.0348,0
Ange Postecoglou,Ange Postecoglou-CEL-2122,Celtic FC,2122,SCO-premiership,34,79.8089,93,13.1911
Angelo Alessio,Angelo Alessio-KILM-1920,Kilmarnock FC,1920,SCO-premiership,15,57.93905,49.49845,-8.4406
Angelo Gregucci,Angelo Gregucci-SAL-1819,US Salernitana 1919,1819,ITA-Serie B,18,48.27665,39.24065,-9.036
Anquela,Anquela-ADA-2021,AD Alcorcón,2021,ESP-La Liga 2,30,38.4461,49,10.5539
Anquela,Anquela-ADA-2122,AD Alcorcón,2122,ESP-La Liga 2,6,51.55495,47.68165,-3.8733
Anquela,Anquela-DEP-1920,Deportivo La Coruña,1920,ESP-La Liga 2,9,66.06885,53.7068,-12.36205
Anquela,Anquela-OVI-1819,Real Oviedo,1819,ESP-La Liga 2,30,54.7449,60.0308,5.2859
Ante Čović,Ante Čović-HER-1920,Hertha BSC,1920,GER-Bundesliga,12,41.75795,38.945,-2.81295
Anthony Limbrick,Anthony Limbrick-GRI-1920,Grimsby Town,1920,ENG-League Two,6,56.23115,50.01195,-6.2192
Antoine Kombouaré,Antoine Kombouaré-DIJ-1819,Dijon FCO,1819,FRA-Ligue 1,19,38.1519,34,-4.1519
Antoine Kombouaré,Antoine Kombouaré-GUI-1819,EA Guingamp,1819,FRA-Ligue 1,6,40.4237,39.6689,-0.7548
Antoine Kombouaré,Antoine Kombouaré-NAN-2021,FC Nantes,2021,FRA-Ligue 1,14,37.4853,40,2.5147
