Name,Coach_ID,Team,Season,League,Matches,Expectation,Result,Difference
Manuel Pellegrini,Manuel Pellegrini-BET-1920,Real Betis,1920,ESP-La Liga,2,41,41,0
Manuel Pellegrini,Manuel Pellegrini-BET-2021,Real Betis,2021,ESP-La Liga,35,51.25355,61,9.74645
Manuel Pellegrini,Manuel Pellegrini-BET-2122,Real Betis,2122,ESP-La Liga,37,54.0345,65,10.9655
Manuel Pellegrini,Manuel Pellegrini-WHU-1819,West Ham United,1819,ENG-Premier League,34,40.64065,52,11.35935
Manuel Pellegrini,Manuel Pellegrini-WHU-1920,West Ham United,1920,ENG-Premier League,19,46.3153,41.17755,-5.13775
Marc Brys,Marc Brys-OHL-2021,Oud-Heverlee Leuven,2021,BEL-First Division,30,34.10825,46.83205,12.7238
Marc Brys,Marc Brys-OHL-2122,Oud-Heverlee Leuven,2122,BEL-First Division,29,38.8529,39.8061,0.9532
Marc Brys,Marc Brys-STVV-1819,Sint-Truidense VV,1819,BEL-First Division,21,41.9986,48.6923,6.6937
Marc Brys,Marc Brys-STVV-1920,Sint-Truidense VV,1920,BEL-First Division,13,36.5372,38.29005,1.75285
Marc Hensel,Marc Hensel-ERZ-2122,Erzgebirge Aue,2122,GER-Bundesliga 2,5,29.60725,31.84545,2.2382
Marc Noë,Marc Noë-KFCO-2122,K Beerschot VA,2122,BEL-First Division,1,28.01885,28.01885,0
Marc Schneider,Marc Schneider-THUN-1819,FC Thun Berner Oberland,1819,SWI-Super League,28,46.8807,46,-0.8807
Marc Schneider,Marc Schneider-THUN-1920,FC Thun Berner Oberland,1920,SWI-Super League,30,39.94155,38,-1.94155
Marcel Keizer,Marcel Keizer-SCP-1819,Sporting CP,1819,POR-Primeira Liga,25,68.452,74,5.548
Marcel Keizer,Marcel Keizer-SCP-1920,Sporting CP,1920,POR-Primeira Liga,5,67.34955,62.7597,-4.58985
Marcel Ketelaer,Marcel Ketelaer-SKN-1819,SKN St. Pölten,1819,AUS-Bundesliga,1,29.4825,29.4825,0
Marcel Koller,Marcel Koller-BAS-1819,FC Basel,1819,SWI-Super League,28,64.13105,71,6.86895
Marcel Koller,Marcel Koller-BAS-1920,FC Basel,1920,SWI-Super League,30,71.38135,62,-9.38135
Marcel Rapp,Marcel Rapp-HOL-2122,Holstein Kiel,2122,GER-Bundesliga 2,25,40.4028,45,4.5972
Marcelino,Marcelino-BIL-2021,Athletic Bilbao,2021,ESP-La Liga,20,45.99415,46,0.00585
Marcelino,Marcelino-BIL-2122,Athletic Bilbao,2122,ESP-La Liga,37,51.2906,55,3.7094
Marcelino,Marcelino-VAL-1819,Valencia CF,1819,ESP-La Liga,32,52.12775,61,8.87225
Marcelino,Marcelino-VAL-1920,Valencia CF,1920,ESP-La Liga,4,59.572,56.461,-3.111
Marcelo Bielsa,Marcelo Bielsa-LEE-1819,Leeds United,1819,ENG-Championship,33,76.8403,83,6.1597
Marcelo Bielsa,Marcelo Bielsa-LEE-1920,Leeds United,1920,ENG-Championship,37,84.3376,93,8.6624
Marcelo Bielsa,Marcelo Bielsa-LEE-2021,Leeds United,2021,ENG-Premier League,36,38.70315,59,20.29685
Marcelo Bielsa,Marcelo Bielsa-LEE-2122,Leeds United,2122,ENG-Premier League,25,49.93595,37.15705,-12.7789
Marco Antwerpen,Marco Antwerpen-FWK-2021,Würzburger Kickers,2021,GER-Bundesliga 2,4,33.873,30.4823,-3.3907
Marco Baroni,Marco Baroni-CRE-1920,US Cremonese,1920,ITA-Serie B,10,50.3097,47.8167,-2.493
Marco Baroni,Marco Baroni-FRO-1819,Frosinone Calcio,1819,ITA-Serie A,20,27.22945,25,-2.22945
Marco Baroni,Marco Baroni-LEC-2122,US Lecce,2122,ITA-Serie B,35,59.76725,71,11.23275
Marco Baroni,Marco Baroni-REG-2021,Reggina 1914,2021,ITA-Serie B,48,43.972,50,6.028
Marco Giampaolo,Marco Giampaolo-MIL-1920,AC Milan,1920,ITA-Serie A,7,66.2723,57.54405,-8.72825
Marco Giampaolo,Marco Giampaolo-SMP-1819,Sampdoria,1819,ITA-Serie A,32,51.417,53,1.583
Marco Giampaolo,Marco Giampaolo-SMP-2122,Sampdoria,2122,ITA-Serie A,16,37.0542,36,-1.0542
Marco Giampaolo,Marco Giampaolo-TOR-1920,Torino FC,1920,ITA-Serie A,2,40,40,0
Marco Giampaolo,Marco Giampaolo-TOR-2021,Torino FC,2021,ITA-Serie A,16,43.7518,36.64245,-7.10935
Marco Grote,Marco Grote-OSN-2021,VfL Osnabrück,2021,GER-Bundesliga 2,20,42.99785,36.52215,-6.4757
Marco Kostmann,Marco Kostmann-DSC-2122,Arminia Bielefeld,2122,GER-Bundesliga,4,28.6593,28,-0.6593
Marco Rose,Marco Rose-DOR-2122,Borussia Dortmund,2122,GER-Bundesliga,35,63.7837,69,5.2163
Marco Rose,Marco Rose-MGB-1920,Bor. Mönchengladbach,1920,GER-Bundesliga,36,46.83485,65,18.16515
Marco Rose,Marco Rose-MGB-2021,Bor. Mönchengladbach,2021,GER-Bundesliga,33,54.4921,49,-5.4921
Marco Rose,Marco Rose-SAL-1819,RB Salzburg,1819,AUS-Bundesliga,27,49.1267,52,2.8733
Marco Silva,Marco Silva-EVE-1819,Everton FC,1819,ENG-Premier League,34,42.3856,54,11.6144
Marco Silva,Marco Silva-EVE-1920,Everton FC,1920,ENG-Premier League,16,56.3357,46.7858,-9.5499
Marco Silva,Marco Silva-FUL-2122,Fulham FC,2122,ENG-Championship,39,85.5204,90,4.4796
Marco Simone,Marco Simone-CHAT-2021,LB Châteauroux,2021,FRA-Ligue 2,10,27.04825,23,-4.04825
Marco Walker,Marco Walker-SION-2021,FC Sion,2021,SWI-Super League,10,38.2941,38,-0.2941
Marco Walker,Marco Walker-SION-2122,FC Sion,2122,SWI-Super League,7,45.73245,40.6925,-5.03995
Marco Zaffaroni,Marco Zaffaroni-COS-2122,Cosenza Calcio,2122,ITA-Serie B,14,38.71745,35.7458,-2.97165
Marcus Lantz,Marcus Lantz-MJA-2021,Mjällby AIF,2021,SWE-Allvenskan,25,29.1196,47,17.8804
Marcus Lantz,Marcus Lantz-ORE-2122,Örebro SK,2122,SWE-Allvenskan,7,22.18655,18,-4.18655
Marek Mintál,Marek Mintál-NUR-1920,1. FC Nürnberg,1920,GER-Bundesliga 2,1,43.47165,43.47165,0
Mario Frick,Mario Frick-FCL-2122,FC Luzern,2122,SWI-Super League,16,29.28105,40,10.71895
Mario Frick,Mario Frick-FCVA-2021,FC Vaduz,2021,SWI-Super League,29,33.4493,36,2.5507
Marius Şumudică,Marius Şumudică-CAY-2021,Çaykur Rizespor,2021,TUR-Super Lig,6,48.34045,41.9948,-6.34565
Marius Şumudică,Marius Şumudică-GAZ-1920,Gaziantep FK,1920,TUR-Super Lig,36,37.8175,46,8.1825
Marius Şumudică,Marius Şumudică-GAZ-2021,Gaziantep FK,2021,TUR-Super Lig,16,53.9717,71.8635,17.8918
Marius Şumudică,Marius Şumudică-MAL-2122,Yeni Malatyaspor,2122,TUR-Super Lig,14,42.408,30.17425,-12.23375
Mark Bonner,Mark Bonner-CAM-1819,Cambridge United,1819,ENG-League Two,2,47.0924,46.5849,-0.5075
Mark Bonner,Mark Bonner-CAM-1920,Cambridge United,1920,ENG-League Two,9,49.31525,45,-4.31525
Mark Bonner,Mark Bonner-CAM-2021,Cambridge United,2021,ENG-League Two,37,48.10115,80,31.89885
Mark Bonner,Mark Bonner-CAM-2122,Cambridge United,2122,ENG-League One,40,48.2204,58,9.7796
Mark Bowen,Mark Bowen-REA-1920,Reading FC,1920,ENG-Championship,28,52.52785,56,3.47215
Mark Bowen,Mark Bowen-WIM-2122,AFC Wimbledon,2122,ENG-League One,7,39.09065,37,-2.09065
Mark Cooper,Mark Cooper-BRW-2122,Barrow AFC,2122,ENG-League Two,31,57.08085,47.4204,-9.66045
Mark Cooper,Mark Cooper-FGR-1819,Forest Green Rovers,1819,ENG-League Two,34,68.9982,74,5.0018
Mark Cooper,Mark Cooper-FGR-1920,Forest Green Rovers,1920,ENG-League Two,34,69.1772,49,-20.1772
Mark Cooper,Mark Cooper-FGR-2021,Forest Green Rovers,2021,ENG-League Two,30,59.2428,71.51595,12.27315
Mark Hudson,Mark Hudson-HUD-1819,Huddersfield Town,1819,ENG-Premier League,2,24.7072,24.0973,-0.6099
Mark Hudson,Mark Hudson-HUD-1920,Huddersfield Town,1920,ENG-Championship,3,66.41875,60.0939,-6.32485
Mark Hughes,Mark Hughes-BRAD-2122,Bradford City,2122,ENG-League Two,14,53.49645,58,4.50355
Mark Hughes,Mark Hughes-SOU-1819,Southampton FC,1819,ENG-Premier League,9,42.8923,37.255,-5.6373
Mark Kennedy,Mark Kennedy-MAC-1920,Macclesfield Town,1920,ENG-League Two,11,51.69705,36,-15.69705
Mark McGhee,Mark McGhee-DUN-2122,Dundee FC,2122,SCO-premiership,12,35.304,29,-6.304
Mark Molesley,Mark Molesley-SOUT-1920,Southend United,1920,ENG-League One,2,19,19,0
Mark Molesley,Mark Molesley-SOUT-2021,Southend United,2021,ENG-League Two,30,66.66315,42.5232,-24.13995
Mark Patterson,Mark Patterson-GIL-1819,Gillingham FC,1819,ENG-League One,5,53.1734,55,1.8266
Mark Robins,Mark Robins-COV-1819,Coventry City,1819,ENG-League One,34,55.43815,65,9.56185
Mark Robins,Mark Robins-COV-1920,Coventry City,1920,ENG-League One,34,65.3056,67,1.6944
Mark Robins,Mark Robins-COV-2021,Coventry City,2021,ENG-Championship,35,50.32305,55,4.67695
Mark Robins,Mark Robins-COV-2122,Coventry City,2122,ENG-Championship,39,59.56635,64,4.43365
Mark Robinson,Mark Robinson-WIM-2021,AFC Wimbledon,2021,ENG-League One,17,41.8691,51,9.1309
Mark Robinson,Mark Robinson-WIM-2122,AFC Wimbledon,2122,ENG-League One,33,56.5714,39.9293,-16.6421
Mark Sampson,Mark Sampson-STEV-1920,Stevenage FC,1920,ENG-League Two,13,47.4719,47.59475,0.12285
Mark Trueman,Mark Trueman-BRAD-2021,Bradford City,2021,ENG-League Two,24,50.6823,59,8.3177
Mark Trueman,Mark Trueman-BRAD-2122,Bradford City,2122,ENG-League Two,1,54.9103,54.9103,0
Mark Warburton,Mark Warburton-QPR-1819,Queens Park Rangers,1819,ENG-Championship,7,51.13585,51,-0.13585
Mark Warburton,Mark Warburton-QPR-1920,Queens Park Rangers,1920,ENG-Championship,37,61.974,58,-3.974
Mark Warburton,Mark Warburton-QPR-2021,Queens Park Rangers,2021,ENG-Championship,35,57.77335,68,10.22665
Mark Warburton,Mark Warburton-QPR-2122,Queens Park Rangers,2122,ENG-Championship,39,63.1757,66,2.8243
Mark Yates,Mark Yates-MAC-1819,Macclesfield Town,1819,ENG-League Two,3,37.3412,36.6981,-0.6431
Mark van Bommel,Mark van Bommel-PSV-1819,PSV Eindhoven,1819,NED-Eredivisie,29,80.2986,83,2.7014
Mark van Bommel,Mark van Bommel-PSV-1920,PSV Eindhoven,1920,NED-Eredivisie,17,70.9629,63.4614,-7.5015
Mark van Bommel,Mark van Bommel-WLF-2122,VfL Wolfsburg,2122,GER-Bundesliga,9,52.3995,49.55135,-2.84815
Marko Nikolić,Marko Nikolić-LOK-1920,Lokomotiv Moskva,1920,RUS-Premier League,6,55.11205,57,1.88795
Marko Nikolić,Marko Nikolić-LOK-2021,Lokomotiv Moskva,2021,RUS-Premier League,29,53.80405,56,2.19595
Marko Nikolić,Marko Nikolić-LOK-2122,Lokomotiv Moskva,2122,RUS-Premier League,8,50.3639,47.89175,-2.47215
Markus Anfang,Markus Anfang-BRE-2122,Werder Bremen,2122,GER-Bundesliga 2,12,60.93055,54.71455,-6.216
Markus Anfang,Markus Anfang-COL-1819,1. FC Köln,1819,GER-Bundesliga 2,24,66.1941,66.7733,0.5792
Markus Anfang,Markus Anfang-DRM-2021,SV Darmstadt 98,2021,GER-Bundesliga 2,33,47.45865,51,3.54135
Markus Feldhoff,Markus Feldhoff-OSN-2021,VfL Osnabrück,2021,GER-Bundesliga 2,11,33.8908,33,-0.8908
Markus Gisdol,Markus Gisdol-COL-1920,1. FC Köln,1920,GER-Bundesliga,24,31.05845,36,4.94155
Markus Gisdol,Markus Gisdol-COL-2021,1. FC Köln,2021,GER-Bundesliga,26,39.1204,31.59045,-7.52995
Markus Gisdol,Markus Gisdol-LOK-2122,Lokomotiv Moskva,2122,RUS-Premier League,10,47.4211,43.6502,-3.7709
Markus Kauczinski,Markus Kauczinski-DRES-1920,Dynamo Dresden,1920,GER-Bundesliga 2,17,31.33335,32,0.66665
Markus Kauczinski,Markus Kauczinski-STP-1819,FC St. Pauli,1819,GER-Bundesliga 2,21,47.0874,52.81175,5.72435
Markus Pflanz,Markus Pflanz-KVO-2122,KV Oostende,2122,BEL-First Division,3,36.0147,36.55765,0.54295
Markus Schopp,Markus Schopp-BAR-2122,Barnsley FC,2122,ENG-Championship,10,67.6404,47.80745,-19.83295
Markus Schopp,Markus Schopp-HAR-1819,TSV Hartberg,1819,AUS-Bundesliga,27,23.9355,22,-1.9355
Markus Schopp,Markus Schopp-HAR-1920,TSV Hartberg,1920,AUS-Bundesliga,29,24.60375,27,2.39625
Markus Schopp,Markus Schopp-HAR-2021,TSV Hartberg,2021,AUS-Bundesliga,24,25.706,29.35112,3.64512
Markus Weinzierl,Markus Weinzierl-AUG-2021,FC Augsburg,2021,GER-Bundesliga,4,35.6529,36,0.3471
Markus Weinzierl,Markus Weinzierl-AUG-2122,FC Augsburg,2122,GER-Bundesliga,35,35.10395,38,2.89605
Markus Weinzierl,Markus Weinzierl-STU-1819,VfB Stuttgart,1819,GER-Bundesliga,21,36.2607,26.67545,-9.58525
Martin Canning,Martin Canning-HAM-1819,Hamilton Academical,1819,SCO-premiership,14,38.6476,26.1366,-12.511
Martin Devaney,Martin Devaney-BAR-2122,Barnsley FC,2122,ENG-Championship,5,32.0485,30,-2.0485
Martin Drury,Martin Drury-BRAD-1819,Bradford City,1819,ENG-League One,1,45.6802,45.6802,0
Martin O'Connor,Martin O'Connor-WAL-1819,Walsall FC,1819,ENG-League One,8,47.54045,47,-0.54045
Martin O'Neill,Martin O'Neill-FOR-1819,Nottingham Forest,1819,ENG-Championship,18,63.65025,66,2.34975
Martin Retov,Martin Retov-BRO-1819,Brøndby IF,1819,DEN-Superligaen,15,49.8753,55,5.1247
Martin Schmidt,Martin Schmidt-AUG-1819,FC Augsburg,1819,GER-Bundesliga,6,34.28855,32,-2.28855
Martin Schmidt,Martin Schmidt-AUG-1920,FC Augsburg,1920,GER-Bundesliga,24,35.23855,38.0935,2.85495
Martí,Martí-DEP-1819,Deportivo La Coruña,1819,ESP-La Liga 2,12,66.85505,68,1.14495
Martí,Martí-GIJ-2122,Sporting Gijón,2122,ESP-La Liga 2,10,51.4534,45.83285,-5.62055
Martí,Martí-GIR-1920,Girona FC,1920,ESP-La Liga 2,21,70.10505,62.4849,-7.62015
Martí,Martí-LEG-1920,CD Leganés,1920,ESP-La Liga,2,36,36,0
Martí,Martí-LEG-2021,CD Leganés,2021,ESP-La Liga 2,20,63.1416,64.8694,1.7278
Martí Cifuentes,Martí Cifuentes-AAB-2021,Aalborg BK,2021,DEN-Superligaen,24,40.49425,47,6.50575
Martí Cifuentes,Martí Cifuentes-AAB-2122,Aalborg BK,2122,DEN-Superligaen,15,43.90115,46.9607,3.05955
Martí Cifuentes,Martí Cifuentes-SAN-1819,Sandefjord Fotball,1819,NOR-Eliteserien,10,19.97815,23,3.02185
Martí Cifuentes,Martí Cifuentes-SAN-2021,Sandefjord Fotball,2021,NOR-Eliteserien,26,29.33755,35,5.66245
Marvin Compper,Marvin Compper-LOK-2122,Lokomotiv Moskva,2122,RUS-Premier League,3,44.59905,45.37045,0.7714
Massimiliano Allegri,Massimiliano Allegri-JUV-1819,Juventus,1819,ITA-Serie A,32,86.03695,90,3.96305
Massimiliano Allegri,Massimiliano Allegri-JUV-2122,Juventus,2122,ITA-Serie A,34,74.31835,70,-4.31835
Massimiliano Alvini,Massimiliano Alvini-PER-2122,AC Perugia Calcio,2122,ITA-Serie B,35,44.4052,58,13.5948
Massimo Carrera,Massimo Carrera-SPM-1819,Spartak Moskva,1819,RUS-Premier League,4,55.3827,53.2716,-2.1111
Massimo Oddo,Massimo Oddo-CRO-1819,FC Crotone,1819,ITA-Serie B,8,49.38505,42.4557,-6.92935
Massimo Oddo,Massimo Oddo-PER-1920,AC Perugia Calcio,1920,ITA-Serie B,21,57.8418,45,-12.8418
Massimo Oddo,Massimo Oddo-PES-2021,Pescara Calcio,2021,ITA-Serie B,9,46.5046,37.39415,-9.11045
Massimo Paci,Massimo Paci-PDC-2122,Pordenone Calcio,2122,ITA-Serie B,3,48.2769,40.89115,-7.38575
Massimo Rastelli,Massimo Rastelli-CRE-1819,US Cremonese,1819,ITA-Serie B,30,46.5842,49,2.4158
Massimo Rastelli,Massimo Rastelli-CRE-1920,US Cremonese,1920,ITA-Serie B,14,50.48795,42.6226,-7.86535
Massimo Rastelli,Massimo Rastelli-PDC-2122,Pordenone Calcio,2122,ITA-Serie B,4,38.34645,32.06665,-6.2798
Massimo Rastelli,Massimo Rastelli-SPAL-2021,SPAL 2013 Ferrara,2021,ITA-Serie B,10,55.7586,56,0.2414
Massimo Rizzo,Massimo Rizzo-ZUR-2021,FC Zürich,2021,SWI-Super League,25,35.0783,43,7.9217
Mathieu Chabert,Mathieu Chabert-BAS-2122,SC Bastia,2122,FRA-Ligue 2,7,41.3025,37.4874,-3.8151
Mathieu Chabert,Mathieu Chabert-BEZ-1819,AS Béziers,1819,FRA-Ligue 2,29,38.05325,38,-0.05325
Matt Gray,Matt Gray-SUT-2122,Sutton United,2122,ENG-League Two,42,52.63335,76,23.36665
Matt Harrold,Matt Harrold-LEY-2122,Leyton Orient,2122,ENG-League Two,2,52.62255,52.0682,-0.55435
Matt Taylor,Matt Taylor-EXE-1819,Exeter City,1819,ENG-League Two,34,81.7877,70,-11.7877
Matt Taylor,Matt Taylor-EXE-1920,Exeter City,1920,ENG-League Two,34,74.66455,65,-9.66455
Matt Taylor,Matt Taylor-EXE-2021,Exeter City,2021,ENG-League Two,37,69.43585,70,0.56415
Matt Taylor,Matt Taylor-EXE-2122,Exeter City,2122,ENG-League Two,42,69.18195,84,14.81805
Matteo Centurioni,Matteo Centurioni-PAD-1819,Calcio Padova,1819,ITA-Serie B,12,31.9489,31,-0.9489
Matteo Vanetta,Matteo Vanetta-BSCY-2122,BSC Young Boys,2122,SWI-Super League,10,63.7914,60,-3.7914
Matthew Etherington,Matthew Etherington-PET-2122,Peterborough United,2122,ENG-Championship,1,32.5701,32.5701,0
Matthew Gill,Matthew Gill-IPS-2021,Ipswich Town,2021,ENG-League One,1,76.8393,76.8393,0
Matthew Taylor,Matthew Taylor-WAL-2122,Walsall FC,2122,ENG-League Two,26,56.53985,47.5375,-9.00235
Matthias Jaissle,Matthias Jaissle-SAL-2122,RB Salzburg,2122,AUS-Bundesliga,18,50.05595,49.54255,-0.5134
Matthias Kaltenbach,Matthias Kaltenbach-HOF-1920,1899 Hoffenheim,1920,GER-Bundesliga,3,48.1897,52,3.8103
Mattia Croci-Torti,Mattia Croci-Torti-FCL-2122,FC Lugano,2122,SWI-Super League,29,42.52935,54,11.47065
Maurice Steijn,Maurice Steijn-VVV-1819,VVV-Venlo,1819,NED-Eredivisie,29,39.5995,41,1.4005
Mauricio Pellegrino,Mauricio Pellegrino-LEG-1819,CD Leganés,1819,ESP-La Liga,32,41.50895,45,3.49105
Mauricio Pellegrino,Mauricio Pellegrino-LEG-1920,CD Leganés,1920,ESP-La Liga,8,47.2095,36.37095,-10.83855
Mauricio Pochettino,Mauricio Pochettino-PSG-2021,Paris Saint-Germain,2021,FRA-Ligue 1,20,81.36725,82,0.63275
Mauricio Pochettino,Mauricio Pochettino-PSG-2122,Paris Saint-Germain,2122,FRA-Ligue 1,36,86.81345,86,-0.81345
Mauricio Pochettino,Mauricio Pochettino-TOT-1819,Tottenham Hotspur,1819,ENG-Premier League,34,71.55305,71,-0.55305
Mauricio Pochettino,Mauricio Pochettino-TOT-1920,Tottenham Hotspur,1920,ENG-Premier League,14,67.0931,58.0608,-9.0323
Maurizio Domizzi,Maurizio Domizzi-PDC-2021,Pordenone Calcio,2021,ITA-Serie B,9,46.69335,45,-1.69335
Maurizio Jacobacci,Maurizio Jacobacci-FCL-1920,FC Lugano,1920,SWI-Super League,21,42.4091,47,4.5909
Maurizio Jacobacci,Maurizio Jacobacci-FCL-2021,FC Lugano,2021,SWI-Super League,29,48.8383,49,0.1617
Maurizio Jacobacci,Maurizio Jacobacci-GRE-2122,Grenoble Foot 38,2122,FRA-Ligue 2,16,47.6287,46.94595,-0.68275
Maurizio Sarri,Maurizio Sarri-CHE-1819,Chelsea FC,1819,ENG-Premier League,34,76.4996,72,-4.4996
Maurizio Sarri,Maurizio Sarri-JUV-1920,Juventus,1920,ITA-Serie A,34,87.6929,83,-4.6929
Maurizio Sarri,Maurizio Sarri-LAZ-2122,Lazio Roma,2122,ITA-Serie A,34,59.63695,64,4.36305
Mbaye Leye,Mbaye Leye-STL-2021,Standard Liège,2021,BEL-First Division,15,46.08095,48.7161,2.63515
Mbaye Leye,Mbaye Leye-STL-2122,Standard Liège,2122,BEL-First Division,7,48.09565,45.10315,-2.9925
Mehdi Nafti,Mehdi Nafti-LEG-2122,CD Leganés,2122,ESP-La Liga 2,33,52.75965,54,1.24035
Mehdi Nafti,Mehdi Nafti-LUG-2021,CD Lugo,2021,ESP-La Liga 2,19,52.3801,52.51525,0.13515
Mehmed Baždarević,Mehmed Baždarević-GUI-2021,EA Guingamp,2021,FRA-Ligue 2,17,51.69665,44.8994,-6.79725
Mehmed Baždarević,Mehmed Baždarević-PAR-1819,Paris FC,1819,FRA-Ligue 2,29,57.6026,65,7.3974
Mehmed Baždarević,Mehmed Baždarević-PAR-1920,Paris FC,1920,FRA-Ligue 2,17,52.5405,36.08585,-16.45465
Mehmet Altiparmak,Mehmet Altiparmak-ERZ-1819,BB Erzurumspor,1819,TUR-Super Lig,1,26.4543,26.4543,0
Mehmet Altiparmak,Mehmet Altiparmak-GEN-2021,Gençlerbirliği,2021,TUR-Super Lig,6,36.2296,31.47005,-4.75955
Mehmet Altiparmak,Mehmet Altiparmak-KAS-1920,Kasımpaşa SK,1920,TUR-Super Lig,1,43,43,0
Mehmet Altiparmak,Mehmet Altiparmak-KAS-2021,Kasımpaşa SK,2021,TUR-Super Lig,7,54.92495,54.4757,-0.44925
Mehmet Karaca,Mehmet Karaca-CAY-1920,Çaykur Rizespor,1920,TUR-Super Lig,2,35.9685,35,-0.9685
Mehmet Özdilek,Mehmet Özdilek-DZL-1920,Denizlispor,1920,TUR-Super Lig,14,33.92445,37.7106,3.78615
Mehmet Özdilek,Mehmet Özdilek-ERZ-1819,BB Erzurumspor,1819,TUR-Super Lig,18,26.961,34.1129,7.1519
Mehmet Özdilek,Mehmet Özdilek-ERZ-2021,BB Erzurumspor,2021,TUR-Super Lig,10,42.6277,40.95,-1.6777
Mere,Mere-ADA-1920,AD Alcorcón,1920,ESP-La Liga 2,3,57,57,0
Mere,Mere-ADA-2021,AD Alcorcón,2021,ESP-La Liga 2,10,53.33795,39.4597,-13.87825
Mere,Mere-FUE-1920,CF Fuenlabrada,1920,ESP-La Liga 2,30,50.00495,52.87895,2.874
Mersad Selimbegović,Mersad Selimbegović-JAHN-1920,Jahn Regensburg,1920,GER-Bundesliga 2,32,48.17,43,-5.17
Mersad Selimbegović,Mersad Selimbegović-JAHN-2021,Jahn Regensburg,2021,GER-Bundesliga 2,33,40.4264,38,-2.4264
Mersad Selimbegović,Mersad Selimbegović-JAHN-2122,Jahn Regensburg,2122,GER-Bundesliga 2,33,46.8497,40,-6.8497
Mert Nobre,Mert Nobre-ALT-2122,Altay Izmir,2122,TUR-Super Lig,2,33.6013,32.75795,-0.84335
Mert Nobre,Mert Nobre-GEN-1920,Gençlerbirliği,1920,TUR-Super Lig,1,36,36,0
Mert Nobre,Mert Nobre-GEN-2021,Gençlerbirliği,2021,TUR-Super Lig,9,44.2739,40.3524,-3.9215
Mesut Bakkal,Mesut Bakkal-ALA-1819,Alanyaspor,1819,TUR-Super Lig,6,42.24915,34.97815,-7.271
Mesut Bakkal,Mesut Bakkal-BUR-1819,Bursaspor,1819,TUR-Super Lig,8,36.9011,37,0.0989
Mesut Bakkal,Mesut Bakkal-ERZ-2021,BB Erzurumspor,2021,TUR-Super Lig,13,34.39625,36.6882,2.29195
Metin Diyadin,Metin Diyadin-ANK-1920,MKE Ankaragücü,1920,TUR-Super Lig,8,35.9707,32.28855,-3.68215
Michael Appleton,Michael Appleton-LCN-1920,Lincoln City,1920,ENG-League One,27,56.3751,42,-14.3751
Michael Appleton,Michael Appleton-LCN-2021,Lincoln City,2021,ENG-League One,37,58.4563,77,18.5437
Michael Appleton,Michael Appleton-LCN-2122,Lincoln City,2122,ENG-League One,40,71.52005,52,-19.52005
Michael Boris,Michael Boris-SON-2021,SønderjyskE,2021,DEN-Superligaen,1,44,44,0
Michael Boris,Michael Boris-SON-2122,SønderjyskE,2122,DEN-Superligaen,11,35.6051,28.59245,-7.01265
Michael Carrick,Michael Carrick-MAN-2122,Manchester United,2122,ENG-Premier League,2,58.47335,58.53415,0.0608
Michael Duff,Michael Duff-CHEL-1819,Cheltenham Town,1819,ENG-League Two,34,50.4098,57,6.5902
Michael Duff,Michael Duff-CHEL-1920,Cheltenham Town,1920,ENG-League Two,34,57.43735,64,6.56265
Michael Duff,Michael Duff-CHEL-2021,Cheltenham Town,2021,ENG-League Two,37,73.60015,82,8.39985
Michael Duff,Michael Duff-CHEL-2122,Cheltenham Town,2122,ENG-League One,40,50.14665,56,5.85335
Michael Flynn,Michael Flynn-NEW-1819,Newport County,1819,ENG-League Two,34,62.4634,71,8.5366
Michael Flynn,Michael Flynn-NEW-1920,Newport County,1920,ENG-League Two,34,59.1024,46,-13.1024
Michael Flynn,Michael Flynn-NEW-2021,Newport County,2021,ENG-League Two,37,50.00745,73,22.99255
Michael Flynn,Michael Flynn-NEW-2122,Newport County,2122,ENG-League Two,8,64.96075,60.33285,-4.6279
Michael Flynn,Michael Flynn-WAL-2122,Walsall FC,2122,ENG-League Two,16,50.32195,54,3.67805
Michael Hemmingsen,Michael Hemmingsen-OBK-2021,Odense BK,2021,DEN-Superligaen,10,43.96095,43,-0.96095
Michael Horvath,Michael Horvath-ADM-1920,FC Admira Wacker,1920,AUS-Bundesliga,1,21.0501,21.0501,0
Michael Jackson,Michael Jackson-BRN-2122,Burnley FC,2122,ENG-Premier League,7,33.28215,35,1.71785
Michael Jackson,Michael Jackson-TRN-1920,Tranmere Rovers,1920,ENG-League One,2,32,32,0
Michael Jackson,Michael Jackson-TRN-2021,Tranmere Rovers,2021,ENG-League Two,8,63.57275,57.0866,-6.48615
Michael Jolley,Michael Jolley-BRW-2021,Barrow AFC,2021,ENG-League Two,8,53.37475,47.6709,-5.70385
Michael Jolley,Michael Jolley-GRI-1819,Grimsby Town,1819,ENG-League Two,34,39.2468,56,16.7532
Michael Jolley,Michael Jolley-GRI-1920,Grimsby Town,1920,ENG-League Two,14,58.80635,56.7371,-2.06925
Michael Köllner,Michael Köllner-NUR-1819,1. FC Nürnberg,1819,GER-Bundesliga,16,35.58275,23.0252,-12.55755
Michael O'Neill,Michael O'Neill-STK-1920,Stoke City,1920,ENG-Championship,25,53.00925,56,2.99075
Michael O'Neill,Michael O'Neill-STK-2021,Stoke City,2021,ENG-Championship,35,69.1008,60,-9.1008
Michael O'Neill,Michael O'Neill-STK-2122,Stoke City,2122,ENG-Championship,39,68.82995,62,-6.82995
