name,coach_id,team,season,league,last_updated,expectation,result,difference
Peter Pacult,Peter Pacult-AKL-2122,SK Austria Klagenfurt,2122,AUS-Bundesliga,19,23.908,26.29955,2.3915499999999987
Peter Stöger,Peter Stöger-VIE-1920,Austria Wien,1920,AUS-Bundesliga,1,34.0,34.0,0.0
Peter Stöger,Peter Stöger-VIE-2021,Austria Wien,2021,AUS-Bundesliga,24,27.6057,29.49462,1.8889200000000024
Peter Swärdh,Peter Swärdh-TRE-1819,Trelleborgs FF,1819,SWE-Allvenskan,2,15.0,15.0,0.0
Peter Sørensen,Peter Sørensen-VEJ-2122,Vejle BK,2122,DEN-Superligaen,17,30.5032,24.73705,-5.76615
Peter Zeidler,Peter Zeidler-FCSG-1819,FC St. Gallen,1819,SWI-Super League,28,43.7408,46.0,2.2592
Peter Zeidler,Peter Zeidler-FCSG-1920,FC St. Gallen,1920,SWI-Super League,30,45.67805,68.0,22.32195
Peter Zeidler,Peter Zeidler-FCSG-2021,FC St. Gallen,2021,SWI-Super League,29,52.9526,44.0,-8.952599999999997
Peter Zeidler,Peter Zeidler-FCSG-2122,FC St. Gallen,2122,SWI-Super League,32,48.72,50.0,1.2800000000000011
Peter Zeidler,Peter Zeidler-FCSG-2223,FC St. Gallen,2223,SWI-Super League,16,52.2613,55.66535,3.404049999999998
Petit,Petit-BOA-2122,Boavista,2122,POR-Primeira Liga,24,36.2564,38.0,1.7436000000000007
Petit,Petit-BOA-2223,Boavista,2223,POR-Primeira Liga,15,40.6092,41.3069,0.6976999999999975
Petit,Petit-MARI-1819,CS Marítimo,1819,POR-Primeira Liga,25,37.09955,39.0,1.9004499999999993
Phil Brown,Phil Brown-BRW-2122,Barrow AFC,2122,ENG-League Two,11,45.41915,44.0,-1.419150000000002
Phil Brown,Phil Brown-SOUT-2021,Southend United,2021,ENG-League Two,7,42.0868,45.0,2.9132000000000033
Phil Brown,Phil Brown-SWI-1819,Swindon Town,1819,ENG-League Two,7,70.4124,59.8896,-10.522800000000004
